start_date,end_date,progress,duration_seconds,finished,recorded_date,campus,group_number,nanostore_name,address,coordinates_text,street_type,location_type,store_size,latitude,longitude,valid_coords
2025-09-25 09:21:28,2025-09-25 09:23:13,100,105,True,2025-09-25 09:23:14,CSF,1,Sin nombre,,,Secondary,Middle of the street,20-50m²,0.0,0.0,False
2025-09-25 09:21:10,2025-09-25 09:26:48,100,337,True,2025-09-25 09:26:48,CSF,1,Abarrotes Lupita,"La Alborada 18, Los Pastores, 53340 Naucalpan de Juárez, Méx., México","19.484506767338527, -99.22369884419231",Secondary,Corner shop,51-100m²,42.3612541,-71.08473,False
2025-09-25 15:51:11,2025-09-25 15:55:03,100,232,True,2025-09-25 15:55:04,GDL,2,Abarrotes El Sauce,"Victoria 12, Modelo, 53330 Naucalpan de Juárez, Méx., México","19.485080254736015, -99.22564890582203",Secondary,Corner shop,51-100m²,42.3612281,-71.0847891,False
2025-09-30 15:19:40,2025-10-01 07:18:10,100,57510,True,2025-10-01 07:18:11,CSF,2,Abts. La Sorpresa,Av. Secretaría de la Marina 552,"19.391527,-99.265182",Primary,Middle of the street,20-50m²,0.0,0.0,False
2025-09-25 16:50:52,2025-10-01 15:13:58,100,512586,True,2025-10-01 15:13:58,GDL,1,Sin nombre,,,Secondary,Middle of the street,20-50m²,0.0,0.0,False
2025-10-01 15:18:32,2025-10-01 16:05:01,100,2788,True,2025-10-01 16:05:02,GDL,19,Tiendita de Guadalajara,"San Bonifacio 447, Vallarta Sur, 44500 Guadalajara, Jal.","20.673509162316385, -103.39752695415586",Secondary,Middle of the street,>100m²,0.0,0.0,False
2025-10-02 11:13:44,2025-10-02 11:16:50,100,185,True,2025-10-02 11:16:54,CSF,"Abarca,Barbosa,Casta√±os",Abarrotes Brenda,https://maps.app.goo.gl/kC8sdL9XZonpwowZ8,"19.3756920, -99.2886760",Secondary,Middle of the street,<20m²,19.3755881,-99.2884934,True
2025-10-02 09:45:05,2025-10-02 13:19:38,100,12872,True,2025-10-02 13:19:43,CSF,9,La principal,"Local 130 al interior del Mercado ""El Chorrito, Gobernador Melchor Muzquiz S/N, San Miguel Chapultepec I Secc, Miguel Hidalgo, 11840 Ciudad de México, CDMX","(19.410535,-99.190342)",Primary,Corner shop,51-100m²,0.0,0.0,False
2025-10-02 15:32:15,2025-10-02 15:38:43,100,387,True,2025-10-02 15:38:46,GDL,16,Carnes finas Las lomas,"AV paseo del anochecer 311, solares residencial,45019",20•43’31N 103•28’17O,Primary,Corner shop,51-100m²,20.725283115386468,-103.4714554864376,True
2025-10-02 15:40:53,2025-10-02 15:44:10,100,197,True,2025-10-02 15:44:14,GDL,15,MiniSuper Express,https://maps.app.goo.gl/fao4nP6YmX8iViq87?g_st=ipc,"(20.7476860, -103.4385434)",Secondary,Middle of the street,51-100m²,20.747602468855103,-103.43829419824796,True
2025-10-02 16:06:17,2025-10-02 16:11:14,100,297,True,2025-10-02 16:11:20,GDL,20,Punto Tec,"Avenida General Ramón Corona, Valle Real, 45019 Zapopan, Jal.","(20.7313497, -103.4545421)",Primary,Middle of the street,51-100m²,20.731562731069992,-103.4546388594348,True
2025-10-02 16:24:03,2025-10-02 16:29:21,100,318,True,2025-10-02 16:29:22,GDL,17,Super Imperial,"Avenida valle de los imperios 536, int 8, Valle Imperial, 45134 Zapopan, Jal","20.7818658,-103.4312723",Secondary,Corner shop,20-50m²,0.0,0.0,False
2025-10-02 16:53:14,2025-10-02 16:56:14,100,179,True,2025-10-02 16:56:16,GDL,18,De Todo Mini Súper,Boulevard Velle imperial 530 interior b,"20.7818070, -103.4313610",Primary,Corner shop,51-100m²,20.7817989,-103.431396,True
2025-10-04 14:26:38,2025-10-04 14:28:13,100,95,True,2025-10-04 14:28:16,GDL,14,Supermarket,"Avenida Acueducto 805 Santa Margarita 45140 Zapopan, Jal. Mexico","Avenida Acueducto 805 Santa Margarita 45140 Zapopan, Jal. Mexico",Primary,Corner shop,51-100m²,20.72811742844517,-103.4207337022786,True
2025-10-04 15:03:02,2025-10-04 15:09:24,100,382,True,2025-10-04 15:09:28,CSF,24,"Manantiales (nombre no visible en la entrada de la tienda, le preguntamos al dueño)","Los Encinos 7, Monton Cuarteles, 52778 Naucalpan de Juárez, Méx.   Entre los Encinos 7 y los Encinos 8 (después de abarrotes Encino en la esquina). ","(19.4086034, -99.2756970)",Secondary,Corner shop,<20m²,19.39540032736164,-99.29181481194954,True
2025-10-05 14:15:33,2025-10-05 14:20:07,100,273,True,2025-10-05 14:20:08,GDL,21,Cremeria Bosques,"Blvrd Bosques de Sta Anita 1285, Bosques de Santa Anita, 45645 Guadalajara, Jal.","20.568620653676867, -103.48728319281471",Primary,Middle of the street,20-50m²,20.568834351536097,-103.4874276128124,True
2025-10-06 07:38:47,2025-10-06 07:43:37,100,289,True,2025-10-06 07:43:38,CSF,5,"Miscelanea ""El viejito""","05520 La Venta, CDMX","19.334714647086056, -99.30973775800784",Secondary,Middle of the street,51-100m²,0.0,0.0,False
2025-10-06 16:57:40,2025-10-06 17:00:12,100,152,True,2025-10-06 17:00:16,CSF,25,"Super ""Las Fuentes""","Manzana 033, Fuentes de Satelite, 52998 Ciudad López Mateos, State of Mexico","19.52191° N, 99.25986° W",Primary,Middle of the street,20-50m²,0.0,0.0,False
2025-10-07 11:38:47,2025-10-07 11:42:29,100,222,True,2025-10-07 11:42:32,CSF,4,SuperFarma,"San Bartolome, Coatepec, No. 180","19.4199, -99.2976",Primary,Corner shop,51-100m²,19.420178974468023,-99.2976231451154,True
2025-10-08 10:36:40,2025-10-08 10:49:16,100,755,True,2025-10-08 10:49:20,CSF,7,Abarrotes El Bohemio,"Av. Tamaulipas 126, Santa Lucía Reacomodo, Álvaro Obregón, 01500 Ciudad de México, CDMX","19.35648° N, 99.25999° O",Secondary,Corner shop,<20m²,19.35649745633073,-99.25991357585625,True
2025-10-08 10:33:34,2025-10-08 10:54:37,100,1262,True,2025-10-08 10:54:43,CSF,10,La Tía Marta,"145 San Miguel Xalapa, Mexico City","19.31427° N, 99.33067° W",Secondary,Middle of the street,<20m²,0.0,0.0,False
2025-10-09 10:29:07,2025-10-09 10:43:40,100,873,True,2025-10-09 10:43:42,GDL,12,La cremeria de la Granja,"Azaleas 2340, Bugambilias, 45239 Zapopan, Jal.","JH42+FP Zapopan, Jalisco",Secondary,Middle of the street,51-100m²,0.0,0.0,False
2025-10-22 09:08:18,2025-10-22 09:18:51,100,633,True,2025-10-22 09:18:54,GDL,13,"Carnes finas ""Las Lomas""","Av. Paseo del Anochecer 311, Solares Residencial, 45019 Zapopan, Jal.","20.725599022624316, -103.47142246199553",Primary,Corner shop,51-100m²,0.0,0.0,False
2025-11-05 11:50:03,2025-11-05 11:55:34,100,331,True,2025-11-05 11:55:36,CCM,27,El Sauce,"Victoria 12, Modelo, 53330 Naucalpan de Juárez, Méx., México","19.485092, -99.225657",Secondary,Corner shop,20-50m²,42.3624704,-71.0934528,False
2025-11-05 13:17:57,2025-11-05 13:28:02,100,604,True,2025-11-05 13:28:03,QRO,21,Miscelanea Ortiz,"76220, La Cruz, 76220 Santa Rosa Jáuregui, Qro.","20.736308, -100.442782",Primary,Corner shop,>100m²,0.0,0.0,False
2025-11-05 13:28:25,2025-11-05 13:29:32,100,66,True,2025-11-05 13:29:33,QRO,24,Miscelánea Ortiz,"76220, La Cruz, 76220 Santa Rosa Jáuregui, Qro.","20.736308, -100.442782",Primary,Corner shop,51-100m²,0.0,0.0,False
2025-11-07 10:46:29,2025-11-07 10:51:15,100,286,True,2025-11-07 10:51:19,QRO,17,Frutería Linda vista,"Near Calle Invierno 156, Linda Vista, 76168 Santiago de Querétaro, Qro.","(20.6076228, -100.3967068)",Secondary,Middle of the street,51-100m²,20.60760650658137,-100.39663736764432,True
2025-11-07 11:26:10,2025-11-07 11:28:50,100,159,True,2025-11-07 11:28:53,QRO,24,Místico,"Near C. Felipe Ángeles 32-36, Santa Catarina, Santiago de Querétaro, Qro.","(20.6064434, -100.3994387)",Primary,Middle of the street,51-100m²,0.0,0.0,False
2025-11-07 12:36:49,2025-11-07 12:45:22,100,513,True,2025-11-07 12:45:25,QRO,"Abarca,Barbosa,Casta√±os",Candely,Na ,Na ,Primary,Corner shop,20-50m²,20.62001781517163,-100.40494416155153,True
2025-11-07 17:07:59,2025-11-07 17:11:55,100,236,True,2025-11-07 17:11:56,QRO,123,Miscelanea Candely Ⅱ,https://maps.app.goo.gl/YGAZ9CQmswiibAta7,"20.620057, -100.404931",Secondary,Corner shop,20-50m²,20.6897152,-100.4732416,True
2025-11-07 17:09:30,2025-11-07 17:19:26,100,595,True,2025-11-07 17:19:30,CVA,38,Abarrotes Lore,"H. Preciado 200, Ocotepec, 62220 Cuernavaca, Mor.","(18.9675109, - 99.2275829)",Secondary,Middle of the street,20-50m²,18.96770104454577,-99.22734969058324,True
2025-11-07 21:21:02,2025-11-07 21:23:56,100,174,True,2025-11-07 21:23:58,CVA,91,Bud light Vicky,"266 C. 1 Pte. Cuautla de Morelos, Morelos","18.806112, -98.934120",Secondary,Middle of the street,<20m²,18.9559906,-99.274924,True
2025-11-08 09:55:25,2025-11-08 10:03:27,100,482,True,2025-11-08 10:03:29,CVA,408,Abarrotes alma,https://maps.app.goo.gl/4ua1WTrnVbMQyHM5A,https://maps.app.goo.gl/4ua1WTrnVbMQyHM5A,Primary,Middle of the street,20-50m²,18.94389610316282,-99.2636924715782,True
2025-11-09 14:27:09,2025-11-09 14:36:24,100,554,True,2025-11-09 14:36:25,QRO,803,Lupita,"C. Guadalupe 158, Modelo, 76178 Santiago de Querétaro, Qro.","20.58046617834832, -100.41960803696958",Secondary,Middle of the street,20-50m²,0.0,0.0,False
2025-11-10 07:42:34,2025-11-10 07:47:00,100,265,True,2025-11-10 07:47:03,QRO,784,Miscelánea candely 2,"C. Lago de Tlahuac 103, Lomas de San Pablo, 76125 Santiago de Querétaro, Qro.","20.620057, -100.404931",Secondary,Corner shop,20-50m²,20.620062429793386,-100.4049974391064,True
2025-11-10 08:15:23,2025-11-10 08:19:55,100,272,True,2025-11-10 08:19:57,QRO,692,KESOS,Paseo de La Reforma 4-148,"20°36'39.8""N 100°22'05.6""W",Primary,Middle of the street,<20m²,0.0,0.0,False
2025-11-10 10:47:46,2025-11-10 10:51:57,100,251,True,2025-11-10 10:52:00,TOL,785,La comercial,"Gral. José Vicente Villada 69, Espiritu Santo, 52140 Metepec, Méx., México","19.25212, -99.60435",Secondary,Corner shop,51-100m²,0.0,0.0,False
2025-11-10 11:03:23,2025-11-10 11:11:36,100,493,True,2025-11-10 11:11:37,CEM,699,Abarrotes Campos,https://maps.app.goo.gl/WPHb1gUeVga9Uacg6,"19.595282003393372, -99.22967075767231",Primary,Middle of the street,>100m²,0.0,0.0,False
2025-11-10 11:34:37,2025-11-10 11:52:52,100,1094,True,2025-11-10 11:52:53,CEM,815,Tienda y Abarrotes Dori,"Calle Arroz 4, Lomas de San Miguel, 52928 Ciudad Adolfo López Mateos, MEX, México","19.594586, -99.232305",Primary,Middle of the street,<20m²,19.5970135,-99.2262075,True
