start_date,end_date,progress,duration_seconds,finished,recorded_date,campus,group_number,years_running,Q23.1,Q23_16_TEXT,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_6_TEXT,supplier_incentive_frequency,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,healthy_definition,top_healthy_products,top_unhealthy_products,offers_healthy_products,healthy_price_comparison,healthy_visibility,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_6_TEXT,Q16_1,Q16_2,Q16_3,Q16_5,Q16_6,Q16_6_TEXT,healthy_intro_experience,supplier_help_needed,sex,age,education,latitude,longitude,years_running_numeric,offers_healthy,valid_coords
2025-09-25 09:46:17,2025-09-25 09:51:45,100,328,True,2025-09-25 09:51:46,CSF,1,,"Sugary drinks (e.g., soda, juice, energy drinks),Bread/Tortillas,Beer",,3.0,2.0,1.0,5.0,4.0,6.0,,Never,Healthy,Healthy,Healthy,Healthy,Unhealthy,Healthy,Unhealthy,Healthy,Unhealthy,que sepa rico,"agua, yogur, cerveza","cigarrillos, papitas, refrescos",Yes,Much more expensive,Moderately visible (placed along with other items),1.0,4.0,2.0,3.0,5.0,6.0,,3.0,1.0,2.0,4.0,5.0,,"si, fijate que...",Muestras gratis,F,30-39,Secondary school,42.3664583,-71.0891348,12.0,True,False
2025-09-25 13:34:38,2025-09-25 13:36:33,100,114,True,2025-09-25 13:36:33,CEM,4,,Beer,,1.0,2.0,3.0,5.0,4.0,6.0,,Sometimes,,,,,,Unhealthy,,,,d,d,d,Yes,Much more expensive,"Highly visible (e.g., front shelves, eye-level, near checkout)",1.0,2.0,3.0,4.0,5.0,6.0,,2.0,1.0,3.0,4.0,5.0,,d,d,M,50-59,Preparatory School,,,12.0,True,False
2025-09-25 15:55:24,2025-09-25 16:01:44,100,380,True,2025-09-25 16:01:45,GDL,4,,"Sugary drinks (e.g., soda, juice, energy drinks),Dairy (e.g., milk, cheese, yogurt),Beer",,4.0,1.0,2.0,5.0,3.0,6.0,,Sometimes,Healthy,Unhealthy,Healthy,Healthy,Unhealthy,Healthy,Healthy,Healthy,Healthy,Que no tenga azúcar,"Frutas, bebidas energéticas, cerveza","cigarros, papitas, frituras",Yes,Slightly more expensive,"Less visible (e.g., back shelves, side areas)",2.0,5.0,3.0,4.0,1.0,6.0,,3.0,2.0,1.0,4.0,5.0,,...,...,M,20-29,University/college degree,42.3612281,-71.0847891,12.0,True,False
2025-09-29 08:45:36,2025-09-29 09:13:38,100,1681,True,2025-09-29 09:13:39,CCM,1,,"Sugary drinks (e.g., soda, juice, energy drinks),Salty snacks (e.g., chips, pretzels, popcorn),Bakery items (e.g., pastries, cakes),Bread/Tortillas,Dairy (e.g., milk, cheese, yogurt)",,3.0,1.0,2.0,5.0,4.0,6.0,Ccc,Sometimes,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Fgvhh,Do g,"Fgghh, ghj, jjjn",Yes,Much more expensive,"Highly visible (e.g., front shelves, eye-level, near checkout)",1.0,5.0,6.0,3.0,2.0,4.0,,1.0,2.0,4.0,5.0,3.0,,,,F,20-29,No formal schooling,,,12.0,True,False
2025-09-29 08:48:01,2025-09-29 09:13:42,100,1540,True,2025-09-29 09:13:42,CEM,1,,"Sugary drinks (e.g., soda, juice, energy drinks),Fruits and vegetables,Beer",,2.0,5.0,1.0,4.0,3.0,6.0,,Often,Healthy,Unhealthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Bueno tiene que ser fresco y tiene que ser limpio y blablablá y cosas así y no sé qué y bueno eso,"A, b, c","A, b, c",Yes,Slightly more expensive,"Highly visible (e.g., front shelves, eye-level, near checkout)",1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,Aquí entonces lo que dijo Sreedevi es que la persona puede grabar la respuesta por parte de la persona,Jejehe,M,20-29,No formal schooling,,,12.0,True,False
2025-10-01 10:09:08,2025-10-01 10:23:36,100,867,True,2025-10-01 10:23:36,GDL,23,10+,"Bread/Tortillas,Dairy (e.g., milk, cheese, yogurt),Cigarettes",,3.0,5.0,4.0,1.0,2.0,6.0,,Sometimes,Healthy,Healthy,Healthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,No tenga ni grasa ni azúcar ni mucha sal. Que sea de granos integrales.,"Chocolates sin azúcar, Chicles, trident","Cigarros, pasteles, refresco de cola",Yes,Slightly more expensive,Moderately visible (placed along with other items),3.0,4.0,1.0,2.0,5.0,6.0,,3.0,4.0,1.0,2.0,5.0,,Al comienzo ofrecían puro producto saludable hasta que la demanda empezó a demandar productos no tan saludables como cigarros y cerveza,Ofrecer productos naturales y atractivos para el cliente,F,60-69,Preparatory School,20.672628473616957,-103.39752978784102,12.0,True,True
2025-10-01 18:38:16,2025-10-01 18:45:55,100,458,True,2025-10-01 18:45:55,CSF,30,,"Sugary drinks (e.g., soda, juice, energy drinks),Salty snacks (e.g., chips, pretzels, popcorn),Bakery items (e.g., pastries, cakes)",,1.0,2.0,3.0,4.0,5.0,6.0,,Sometimes,,,,,,,,,,,,,Yes,About the same,"Highly visible (e.g., front shelves, eye-level, near checkout)",,,,,,,,1.0,2.0,3.0,4.0,5.0,,,,M,50-59,Preparatory School,0.0,0.0,12.0,True,False
2025-10-02 11:17:00,2025-10-02 11:30:52,100,831,True,2025-10-02 11:30:52,CSF,"Abarca,Barbosa,Castaños",10+,"Sugary drinks (e.g., soda, juice, energy drinks),Salty snacks (e.g., chips, pretzels, popcorn),Bakery items (e.g., pastries, cakes)",,2.0,4.0,1.0,3.0,5.0,6.0,Publicidad,Never,Healthy,Unhealthy,Healthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Que sea natural y no tenga tanta azucar,"Agua simple, atún, huevo","Refrescos, Sabritas, chocolates",Yes,About the same,Moderately visible (placed along with other items),4.0,1.0,2.0,3.0,5.0,6.0,Nada,2.0,4.0,1.0,3.0,5.0,Nada,"Nunca paso nada malo, hay clientes para todo.",Que den degustaciones para que la gente conozca el producto,F,40-49,University/college degree,19.3755881,-99.2884934,12.0,True,True
2025-10-02 13:05:35,2025-10-02 13:15:47,100,611,True,2025-10-02 13:15:47,CSF,17,5,"Sugary drinks (e.g., soda, juice, energy drinks),Salty snacks (e.g., chips, pretzels, popcorn),Bread/Tortillas,Packaged meals (e.g., ready-to-eat, frozen meals),Bottled Water",,1.0,5.0,3.0,4.0,2.0,6.0,,Sometimes,Healthy,Healthy,Healthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,que sea natural,"agua, pan integral y cacahuates","cocacola, papas y maruchan",Yes,Slightly more expensive,Moderately visible (placed along with other items),2.0,3.0,4.0,5.0,1.0,6.0,,2.0,3.0,4.0,1.0,5.0,,"yogur natural, no se vendió. Ya no se ofrece",promociones,F,50-59,Primary school,0.0,0.0,5.0,True,False
2025-10-02 13:21:04,2025-10-02 13:34:11,100,787,True,2025-10-02 13:34:11,CSF,33,10+,"Sugary drinks (e.g., soda, juice, energy drinks),Bread/Tortillas,Dairy (e.g., milk, cheese, yogurt)",,1.0,2.0,5.0,3.0,4.0,6.0,,Sometimes,Healthy,Healthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Que no tenga muchos sellos,"Quedo panela, agua natural, jamón","Pan empaquetado, refrescos snacks para freir",Yes,About the same,"Highly visible (e.g., front shelves, eye-level, near checkout)",3.0,5.0,1.0,4.0,2.0,6.0,,2.0,4.0,1.0,3.0,5.0,,"Si, barras de proteína si lo compraron los clientes y se sigue vendiendo",Que lo ofrezcan más,M,20-29,Secondary school,0.0,0.0,12.0,True,False
